Time (t) , Room temperature(T(t))
31.80, 17.8760
31.90, 17.8677
32.00, 17.8595
32.10, 17.8512
32.20, 17.8430
32.30, 17.8347
32.40, 17.8265
32.50, 17.8183
32.60, 17.8101
32.70, 17.8019
32.80, 17.7937
32.90, 17.7855
33.00, 17.7773
33.10, 17.7692
33.20, 17.7610
33.30, 17.7529
33.40, 17.7447
33.50, 17.7366
33.60, 17.7285
33.70, 17.7203
33.80, 17.7122
33.90, 17.7041
34.00, 17.6961
34.10, 17.6880
34.20, 17.6799
34.30, 17.6718
34.40, 17.6638
34.50, 17.6557
34.60, 17.6477
34.70, 17.6397
34.80, 17.6316
34.90, 17.6236
35.00, 17.6156
35.10, 17.6076
35.20, 17.5996
35.30, 17.5917
35.40, 17.5837
35.50, 17.5757
35.60, 17.5678
35.70, 17.5598
35.80, 17.5519
35.90, 17.5440
36.00, 17.5360
36.10, 17.5281
36.20, 17.5202
36.30, 17.5123
36.40, 17.5044
36.50, 17.4966
36.60, 17.4887
36.70, 17.4808
36.80, 17.4730
36.90, 17.4651
37.00, 17.4573
37.10, 17.4495
37.20, 17.4416
37.30, 17.4338
37.40, 17.4260
37.50, 17.4182
37.60, 17.4104
37.70, 17.4026
37.80, 17.3949
37.90, 17.3871
38.00, 17.3794
38.10, 17.3716
38.20, 17.3639
38.30, 17.3561
38.40, 17.3484
38.50, 17.3407
38.60, 17.3330
38.70, 17.3253
38.80, 17.3176
38.90, 17.3099
39.00, 17.3022
39.10, 17.2946
39.20, 17.2869
39.30, 17.2793
39.40, 17.2716
39.50, 17.2640
39.60, 17.2563
39.70, 17.2487
39.80, 17.2411
39.90, 17.2335
40.00, 17.2259
40.10, 17.2183
40.20, 17.2108
40.30, 17.2032
40.40, 17.1956
40.50, 17.1881
40.60, 17.1805
40.70, 17.1730
40.80, 17.1654
40.90, 17.1579
41.00, 17.1504
41.10, 17.1429
41.20, 17.1354
41.30, 17.1279
41.40, 17.1204
41.50, 17.1129
41.60, 17.1055
41.70, 17.0980
41.80, 17.0906
41.90, 17.0831
42.00, 17.0757
42.10, 17.0683
42.20, 17.0608
42.30, 17.0534
42.40, 17.0460
42.50, 17.0386
42.60, 17.0312
42.70, 17.0238
42.80, 17.0165
42.90, 17.0091
43.00, 17.0017
43.10, 16.9944
43.20, 16.9870
43.30, 16.9797
43.40, 16.9724
43.50, 16.9651
43.60, 16.9577
43.70, 16.9504
43.80, 16.9431
43.90, 16.9358
44.00, 16.9286
44.10, 16.9213
44.20, 16.9140
44.30, 16.9068
44.40, 16.8995
44.50, 16.8923
44.60, 16.8850
44.70, 16.8778
44.80, 16.8706
44.90, 16.8634
45.00, 16.8562
45.10, 16.8490
45.20, 16.8418
45.30, 16.8346
